"observedNfeeds" "observedhours" "relatedness2brood" "socialgroupID" "broodID" "massChange"
"103" 38 12.7 0.5 "bfd" "bfd0802" 0.04
"104" 17 12.7 0 "bfd" "bfd0802" -0.01
"105" 33 12.4 0.5 "bfd" "bfd0802" 0.51
"106" 16 12.4 0.5 "bfd" "bfd0802" 0.02
"107" 20 12.4 0.5 "bfd" "bfd0802" 0
"108" 25 12.4 0.5 "bfd" "bfd0802" 0.08
"109" 42 12.4 0.5 "bfd" "bfd0802" -0.02
"110" 22 12.4 0 "bfd" "bfd0802" 0.18
"111" 37 12.4 0.5 "bfd" "bfd0802" 0.43
"112" 26 12.4 0.5 "bfd" "bfd0802" 0.03
"113" 22 12.4 0.5 "bfd" "bfd0802" 0.04
"114" 30 12.4 0.5 "bfd" "bfd0802" 0.28
"115" 46 12.4 0.5 "bfd" "bfd0802" 0.37
"116" 26 12.4 0 "bfd" "bfd0802" 0.03
"117" 29 12.7 0.5 "bfd" "bfd0802" 0.08
"118" 27 12.7 0.5 "bfd" "bfd0802" 0.25
"119" 34 12.7 0.5 "bfd" "bfd0802" 0.27
"120" 31 12.7 0.5 "bfd" "bfd0802" 0.42
"121" 40 12.7 0.5 "bfd" "bfd0802" -0.1
"122" 14 12.7 0 "bfd" "bfd0802" -0.12
"123" 24 12.9 0.5 "bfd" "bfd0802" 0.26
"124" 35 12.9 0.5 "bfd" "bfd0802" 0.02
"125" 25 12.9 0.5 "bfd" "bfd0802" 0.17
"126" 32 12.9 0.5 "bfd" "bfd0802" 0.15
"127" 47 12.9 0.5 "bfd" "bfd0802" 0.22
"128" 19 12.9 0 "bfd" "bfd0802" 0.07
"129" 32 13.4 0.5 "bfd" "bfd0802" 0.07
"130" 24 13.4 0.5 "bfd" "bfd0802" 0.08
"131" 27 13.4 0.5 "bfd" "bfd0802" 0.28
"132" 24 13.4 0.5 "bfd" "bfd0802" 0.25
"133" 46 13.4 0.5 "bfd" "bfd0802" 0.09
"134" 30 13.4 0 "bfd" "bfd0802" -0.05
"135" 33 11.3 0.5 "ceb" "ceb20701" 0.57
"136" 34 11.3 0.5 "ceb" "ceb20701" 0.05
"137" 31 11.5 0.5 "ceb" "ceb20701" 0.48
"138" 36 11.5 0.5 "ceb" "ceb20701" 0.34
"139" 35 11.8 0.5 "ceb" "ceb20701" 0.01
"140" 44 11.8 0.5 "ceb" "ceb20701" 0.07
"141" 20 12.3 0.5 "ceb" "ceb20701" 0.05
"142" 24 12.3 0.5 "ceb" "ceb20701" 0.15
"143" 45 9.5 0.5 "ceb" "ceb20701" 0.05
"144" 32 9.5 0.5 "ceb" "ceb20701" 0.35
"145" 63 11.9 0.5 "ceb" "ceb20701" -0.06
"146" 52 11.9 0.5 "ceb" "ceb20701" 0.12
"147" 57 11.6 0.5 "ceb" "ceb20701" 0.22
"148" 45 11.6 0.5 "ceb" "ceb20701" 0.54
"149" 71 11.7 0.5 "ceb" "ceb20701" 0.08
"150" 60 11.7 0.5 "ceb" "ceb20701" 0.4
"151" 31 5.1 0.5 "ceb" "ceb20701" 0.16
"152" 23 5.1 0.5 "ceb" "ceb20701" 0.11
"153" 61 12 0.5 "ceb" "ceb20701" 0.35
"154" 48 12 0.5 "ceb" "ceb20701" 0.38
"155" 64 10.5 0.5 "ceb" "ceb20701" 0.34
"156" 53 10.5 0.5 "ceb" "ceb20701" 0.36
"157" 23 4.6 0.5 "ceb" "ceb20801" -0.13
"158" 25 4.6 0.5 "ceb" "ceb20801" 0.07
"159" 64 11.9 0.5 "ceb" "ceb20801" 0.13
"160" 57 11.9 0.5 "ceb" "ceb20801" 0
"161" 49 9.1 0.5 "ceb" "ceb20801" 0.39
"162" 48 9.1 0.5 "ceb" "ceb20801" 0.48
"163" 26 6.5 0 "ced_i_j_k" "cej0702" 0.05
"164" 22 6.5 0.5 "ced_i_j_k" "cej0702" 0.21
"165" 24 14.1 0 "ced_i_j_k" "cej0702" 0.11
"166" 24 14.1 0.5 "ced_i_j_k" "cej0702" 0.26
"167" 7 12.4 0 "ced_i_j_k" "cej0702" 0.26
"168" 10 12.4 0.5 "ced_i_j_k" "cej0702" 0.37
